sim,auroc,auprc
701,0.649564249,0.170041728
702,0.652079415,0.168663977
703,0.648433345,0.16363172
704,0.649329136,0.171678389
705,0.644382822,0.166477113
706,0.64462215,0.164927043
707,0.64411159,0.166094167
708,0.643402956,0.163841613
709,0.639480401,0.162640095
710,0.645866616,0.168831123
711,0.64529877,0.167328813
712,0.647152162,0.168138439
713,0.646421016,0.169047324
714,0.649711986,0.168650906
715,0.650496629,0.168919733
716,0.647325693,0.172191644
717,0.639986017,0.161775127
718,0.649744781,0.16392627
719,0.649863014,0.172256226
720,0.648370354,0.168721135
721,0.647586501,0.166373031
722,0.641831796,0.16408492
723,0.643327587,0.164360387
724,0.643320706,0.164294446
725,0.644812161,0.167356026
726,0.6475176,0.16466501
727,0.645626448,0.1682809
728,0.644785166,0.164332027
729,0.650308937,0.169833545
730,0.647901095,0.165768162
731,0.645862479,0.165562032
732,0.648641568,0.16606439
733,0.646178034,0.166039064
734,0.645342062,0.167579711
735,0.645826028,0.163145522
736,0.650069677,0.166436846
737,0.649864742,0.168983353
738,0.643843139,0.164426954
739,0.645416436,0.160648767
740,0.64605293,0.169759971
741,0.650952817,0.172012996
742,0.643802076,0.161704192
743,0.64395121,0.166687351
744,0.64111983,0.158368016
745,0.647381618,0.167178348
746,0.646761291,0.165198112
747,0.648206703,0.166916792
748,0.643586401,0.165448179
749,0.643803031,0.166932763
750,0.652845127,0.168586852
751,0.645865833,0.165458449
752,0.641155926,0.164471385
753,0.649069951,0.165820577
754,0.646610911,0.16404951
755,0.652214876,0.168695341
756,0.646056304,0.165140599
757,0.640322878,0.161735649
758,0.645724732,0.167874954
759,0.640305485,0.15987231
760,0.642276741,0.160093343
761,0.643026649,0.165567629
762,0.634803134,0.160892965
763,0.641102404,0.164490402
764,0.648968966,0.167696129
765,0.646045404,0.165033155
766,0.646840652,0.168997715
767,0.646829997,0.168570928
768,0.644796459,0.167755281
769,0.646697678,0.167769949
770,0.647011749,0.163587394
771,0.647826154,0.170858477
772,0.646325805,0.165872767
773,0.645452647,0.165945786
774,0.643469616,0.163398903
775,0.643459154,0.164894652
776,0.643071532,0.162651861
777,0.646754268,0.166157121
778,0.646390637,0.165909508
779,0.644909525,0.168512733
780,0.647327887,0.167765172
781,0.643152458,0.162679155
782,0.651405976,0.168232062
783,0.643625709,0.167684103
784,0.648454832,0.16613538
785,0.648126401,0.162070532
786,0.644189515,0.166974999
787,0.652380643,0.166801927
788,0.645523881,0.167037944
789,0.63660369,0.157463945
790,0.646176233,0.163431862
791,0.647017537,0.163372154
792,0.650916178,0.169632913
793,0.644010104,0.167321227
794,0.646228479,0.165406159
795,0.645347697,0.172134095
796,0.651155964,0.16970161
797,0.649874344,0.164987848
798,0.641717519,0.165062065
799,0.646973857,0.165483846
800,0.649501331,0.166067006
801,0.645734959,0.165091075
802,0.643940268,0.163600422
803,0.64418977,0.168406499
804,0.653870557,0.170219714
805,0.639601383,0.164392568
806,0.645898733,0.164955586
807,0.650064337,0.17315453
808,0.649065667,0.171003389
809,0.646399974,0.165982679
810,0.641596752,0.164038068
811,0.646436543,0.165555568
812,0.637536851,0.160450907
813,0.647037181,0.164341921
814,0.646113685,0.164014442
815,0.646369342,0.167780194
816,0.647695487,0.171338457
817,0.647713208,0.170647162
818,0.649226647,0.166796025
